Tipo de encuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Musical Víctor Espinós.;¿Es usuario habitual?;¿Con qué frecuencia acude a la Biblioteca Musical Víctor Espinós?;¿Qué servicios de la Biblioteca Musical Víctor Espinós utiliza habitualmente? Seleccione todos los que utilice.;¿Qué documentos son los que más utiliza en la Biblioteca Musical Víctor Espinós? Seleccione todos los que utilice.;¿Ha utilizado el servicio de préstamo de documentos?;Queremos conocer qué opinión le merece el servicio de préstamo de documentos. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho.;¿Ha utilizado el Servicio de Reprografía de la Biblioteca Musical Víctor Espinós?;Queremos conocer qué opinión le merece el Servicio de Reprografía. Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10, que está muy satisfecho;¿Ha participado en alguna actividad organizada por la Biblioteca Musical Víctor Espinós (conciertos, visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué grado de satisfacción le merecen las actividades culturales? Puntúe de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho. (Opciones de selección única);¿Conoce la página web de la Biblioteca Musical Víctor Espinós?;La actualización de la información y los contenidos;Acceso al catálogo en línea;Búsquedas en el catálogo en línea;El edifico y las instalaciones;El trato recibido por el personal;El préstamo de instrumentos;La ordenación de la colección de libre acceso;La colección (libros, partituras, audiovisuales);La adecuación de la colección a sus necesidades;Tiempo de espera en la entrega de fondos ubicados en el depósito.;La información general y especializada recibida tras una consulta;El uso de la red wifi;Las condiciones de los pianos e instrumentos de las cabinas de ensayo;¿Cuál es su valoración general de la Biblioteca Musical Víctor Espinós y sus servicios? Valore de 0 a 10, siendo 0 que está muy insatisfecho y 10 que está muy satisfecho.;¿Qué tipo de material considera que se debería adquirir prioritariamente para mejorar el fondo de la Biblioteca Musical Víctor Espinós?(Seleccione todos los que considere necesarios).;"Si ha contestado ""Otros"" indiquemos cuáles.";De manera global, el servicio prestado por la Biblioteca Musical Víctor Espinós ha sido:;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Musical Víctor Espinós del Ayuntamiento de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Gracias por su colaboración.;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.17;;44523;17;Sí;Varios días al mes;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;No sabe;No sabe;No sabe;10;10;;;;;;10;;8;10;Otros;Instrumentos musicales;;Dar mantenimiento más seguido a los pianos;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.18;;44523;18;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";"Partituras ; Libros";Sí;10;No;;No;;Sí;8;No sabe;No sabe;10;10;No sabe;10;10;10;No sabe;No sabe;No sabe;10;9;Partituras;;Mejor de lo que esperaba;Al pedir cita para las cabinas de ensayo, viernes y lunes no cuenten com días consecutivos;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.19;;44524;19;Sí;Varios días a la semana;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de cabinas de ensayo";Partituras;No;;No;;Sí;7;Sí;No sabe;No sabe;No sabe;9;9;No sabe;9;9;9;No sabe;9;No sabe;;9;Partituras;;Igual que lo que esperaba;"Incorporar una segunda silla o soporte; para colocar los instrumentos (vientos de gran tamaño); por favor reparar o sustituir los atriles defectuosos.";De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.20;;44524;20;Sí;Una vez al mes;"Servicio de cabinas de ensayo; Servicio de información general y especializada";;No;;No;;Sí;8;Sí;10;;;10;10;;;;;;;10;10;10;;;Mejor de lo que esperaba;;;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.21;;44524;21;No;Varias veces al año;"Servicio de préstamo de instrumentos musicales a domicilio; Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";;No;;No;;Sí;9;Sí;7;6;7;9;10;10;8;8;7;;10;;;10;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.22;;44524;22;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;Sí;;;;;;;;;;No sabe;8;8;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;;;;;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.23;;44525;23;No;;Servicio de cabinas de ensayo;Partituras;No;10;No;10;;10;;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;No sabe;;De 18 a 29;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.24;;44525;24;Sí;Una vez al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;No;No sabe;;;10;10;;;;;;;;;;;;;;;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.25;;44525;25;Sí;Ocasionalmente;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;No sabe;;;10;10;;;;;;;;;10;"Libros; Partituras";;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.26;;44525;26;Sí;Varios días al mes;"Servicio de cabinas de ensayo; Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;No;;No;;No;;No;No sabe;No sabe;No sabe;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;8;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.27;;44525;27;Sí;Varios días al mes;Servicio de cabinas de ensayo;;No;;No;;No;;No;;;;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;10;No sabe;10;10;;;;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.28;;44525;28;Sí;Varios días a la semana;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;9;No sabe;No sabe;9;9;No sabe;9;9;No sabe;No sabe;9;No sabe;7;9;;;Mejor de lo que esperaba;"Limpiar salas de ensayo (piano sucio en ocasiones); reparar teclas dañadas de pianos; insonorizare o dividir aulas de canto de instrumentos";De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.29;;44526;29;No;Varios días a la semana;Servicio de cabinas de ensayo;;No;10;No;;No;10;Sí;10;8;8;10;10;10;8;10;7;10;10;10;10;9;Partituras;;Mejor de lo que esperaba;Actualización de instrumentos;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.30;;44526;30;Sí;Varios días al mes;Servicio de cabinas de ensayo;;No;;No;;No;;Sí;10;10;10;10;10;;;10;;;10;;8;9;;;Mejor de lo que esperaba;;Más de 65 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.31;;44526;31;Sí;Una vez al mes;Servicio de cabinas de ensayo;Partituras;No;;No;;No;;Sí;10;No sabe;No sabe;10;10;No sabe;10;10;10;No sabe;10;No sabe;10;10;Partituras;;Mejor de lo que esperaba;;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.32;;44526;32;No;Ocasionalmente;Servicio de cabinas de ensayo;;No;;No;;Sí;;No;;;;9;9;No sabe;No sabe;9;9;No sabe;No sabe;No sabe;10;9;;;Mejor de lo que esperaba;Poner papeleras en las cabinas de estudio ;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.33;;44526;33;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;"Libros infantiles relacionados con la música ; Colecciones especiales (programas de concierto, Quijotes musicales…)";No;;No;;Sí;10;Sí;10;10;10;10;10;10;10;10;10;10;10;10;10;10;Libros infantiles relacionados con la música;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.34;;44526;34;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;Sí;10;10;10;10;10;10;No sabe;No sabe;No sabe;No sabe;10;;No sabe;10;Partituras;;Igual de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.35;;2021-11-26;35;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.36;;29/11/2021;36;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;"Partituras ; Libros";No;;No;;No;;Sí;9;9;9;10;10;10;10;9;9;No sabe;10;No sabe;No sabe;10;"Libros ; Partituras ; Revistas especializadas ; Otros";Instrumentos y accesorios;Igual de lo que esperaba;Nada;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.37;;29/11/2021;37;Sí;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);;No;;No;;No;;No;;;;10;10;10;;;;;10;;;10;;;Mejor de lo que esperaba;;Menos de 18 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.38;;44529;38;Sí;Ocasionalmente;"Servicio de préstamo (libros, partituras, audiovisuales); Servicio de préstamo de instrumentos musicales a domicilio; Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Partituras;No;;No;;Sí;10;Sí;10;9;9;10;10;10;10;10;10;No sabe;10;No sabe;No sabe;10;"Partituras; Libros infantiles relacionados con la música; Otros";Instrumentos;Mejor de lo que esperaba;Más instrumentos;Menos de 18 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.39;;44530;39;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;Sí;7;6;6;10;10;10;7;No sabe;No sabe;No sabe;8;No sabe;No sabe;8;Otros;Instrumentos;Mejor de lo que esperaba;Llamar a usuarios si quedan instrumentos;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.40;;44530;40;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;Partituras;No;;No;;No;;Sí;7;6;6;7;9;10;7;8;9;No sabe;7;No sabe;No sabe;8;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.41;;44530;41;Sí;Una vez al mes;Servicio de préstamo (libros, partituras, audiovisuales);"Partituras ; Libros";Sí;8;No;;No;;Sí;5;8;6;10;10;No sabe;7;5;5;No sabe;No sabe;No sabe;No sabe;7;"Libros; Partituras";;Igual de lo que esperaba;"Libros de mayor actualidad (ej. Negocio, tecnología de la música); partituras de música más actuales; métodos de otros instrumentos musicales";De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.42;;44531;42;Sí;Varios días al mes;"Servicio de préstamo de instrumentos musicales a domicilio; Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres, etc.)";Audiovisuales (dvd, cd);Sí;10;No;;Sí;10;Sí;9;9;9;10;10;10;10;10;10;10;10;No sabe;No sabe;10;Audiovisuales;;Igual de lo que esperaba;;Menos de 18 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.43;;44531;43;No;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;Sí;;;;7;8;10;;;;;;;;8;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.44;;44531;44;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;8;8;8;;;;;;;;9;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.45;;44531;45;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;8;10;10;;;;;;;;9;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.46;;44532;46;No;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;Sí;10;No;;No;;Sí;No sabe;No sabe;10;10;10;10;No sabe;No sabe;No sabe;No sabe;10;No sabe;No sabe;10;;;Igual de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.47;;44532;47;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;No sabe;No sabe;No sabe;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;Igual de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.48;;44532;48;Sí;Varios días al mes;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;;;;;10;;;10;;;Mejor de lo que esperaba;Más promoción;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.49;;44532;49;Sí;Varias veces al año;"Servicio de información general y especializada; Servicio de reproducción de documentos (fotocopias, digitalización)";"Partituras; Libros; Audiovisuales (dvd, cd); Colecciónes especiales (programas de concierto, Quijotes musicales)";Sí;10;Sí;7;Sí;7;Sí;;;;;10;;;;10;;;;;10;"Partituras; Libros infantiles relacionados con la música";;;Muy bueno, estupendo, con buenas partituras;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.50;;44532;50;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;"Partituras ; Libros";No;;Sí;10;No;;Sí;No sabe;2;2;10;10;10;10;10;10;No sabe;No sabe;No sabe;No sabe;9;"Libros; Partituras";;Igual de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.51;;44533;51;Sí;Varias veces al año;"Servicio de préstamo (libros, partituras, audiovisuales) ; Servicio de préstamo de instrumentos musicales a domicilio";Libros infantiles relacionados con la música ;No;;No;;No;;Sí;8;No sabe;No sabe;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;8;;;Igual de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.52;;44533;52;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.53;;44533;53;No;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;10;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.54;;44533;54;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Partituras;No;;No;;Sí;9;Sí;8;8;7;10;10;10;8;8;8;10;8;No sabe;No sabe;9;Libros infantiles relacionados con la música;;Igual de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.55;;44533;55;No;Ocasionalmente;"Servicio de préstamo de instrumentos musicales a domicilio; Actividades culturales (conciertos, visitas guiadas, exposiciones, conferencias, talleres,  etc.)";;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;Partituras;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.56;;44533;56;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;;;;;;;;;;;10;10;10;;;;;;;;10;;;Igual de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.57;;44544;57;No;Ocasionalmente;Servicio de préstamo (libros, partituras, audiovisuales);Partituras;No;;No;;No;;Sí;8;9;8;9;10;10;9;9;9;10;9;9;9;9;;;Mejor de lo que esperaba;;De 18 a 29 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.58;;44544;58;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;9;10;10;No sabe;No sabe;No sabe;9;9;No sabe;No sabe;9;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.59;;44544;59;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Partirturas;No;;No;;No;;No;;;;10;10;10;10;10;10;10;10;10;10;10;Libros infantiles relacionados con la música;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.60;;44544;60;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domiclio;;No;;No;;No;;No;10;10;10;10;10;10;No sabe;No sabe;No sabe;10;No sabe;No sabe;No sabe;10;;;Mejor de lo que esperaba;Es un servicio dificilmente mejorable y un orgullo para Madrid;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.61;;2021-12-14;61;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domiclio;Revistas especializadas;No;;No;;No;;Sí;9;9;9;10;10;10;10;No sabe;10;10;10;No sabe;No sabe;10;"Audiovisuales (dvd, cd) ; revistas especializadas";;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.62;;15/12/2021;62;Sí;Varias veces al año;servicio de préstamp de instrumentos musicales a domicilio;;No;;No;;No;;Sí;No sabe;No sabe;No sabe;10;10;10;No sabe;No sabe;No sabe;;No sabe;No sabe;No sabe;10;Otros;Instrumentos para atender la demanda existente;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.63;;15/12/2021;63;No;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;Sí;No sabe;9;9;10;10;10;No sabe;No sabe;No sabe;No sabe;10;No sabe;No sabe;10;;;Mejor de lo que esperaba;Que continúe con el servicio de préstamo de instrumentos;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.64;;44545;64;Sí;Varios días a la semana;Servicio de préstamo (libros, partituras, audiovisuales);Audiovisuales (dvd, cd);No;;No;;No;;No;;;;8;8;No sabe;7;6;6;No sabe;No sabe;No sabe;No sabe;7;Audiovisuales;;Igual de lo que esperaba;Que dispongan de CD´s que no encuentro den las otras Bibliotecas Públicas, de músicos del siglo XX (ej. Patti Bravo, Jose Alfonso, Iceberg, Malicorne, John Renbourn, Patrick Street) o úsicos recientes (ej. Fuel Fandango, Benjamín Clementine, Salvador Sobral, Moisés Sánchez);De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.65;;44545;65;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;10;No sabe;No sabe;10;;;Mejor de lo que esperaba;Mayor difusión de las actividades que se organizan;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.66;;44545;66;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.67;;44545;67;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;Libros;No;;No;;No;;No;;;;10;10;10;No sabe;No sabe;No sabe;10;10;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.68;;44546;68;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;Partituras;No;;No;;No;;Sí;10;10;10;10;10;10;No sabe;9;No sabe;9;10;No sabe;No sabe;10;"Libros; Libros infantiles relacionados con la música";;Igual de lo que esperaba;Posibilidad de hacer más trámites online;De 30 a 44 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.69;;44546;69;Sí;Varias veces al año;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;Sí;8;7;7;10;10;10;No sabe;No sabe;No sabe;No sabe;8;No sabe;No sabe;9;;;Mejor de lo que esperaba;;De 45 a 64 años;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Musical Víctor Espinós;2021-12-23 00:00:00.70;;44546;70;Sí;Ocasionalmente;Servicio de préstamo de instrumentos musicales a domicilio;;No;;No;;No;;No;;;;10;9;10;No sabe;No sabe;No sabe;No sabe;10;No sabe;No sabe;10;;;Mejor de lo que esperaba;;De 30 a 44 años;;
